symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,exit_reason,gross_pnl,costs,net_pnl,capital_after
NSE:ASIANPAINT-EQ,long,2023-03-24T12:03:00+05:30,2810.8,2023-03-24T12:36:00+05:30,2805.1784,2,stoploss,-11.2432,55.5303,-66.7735,5588.8269
NSE:SUNPHARMA-EQ,long,2023-03-24T12:15:00+05:30,974.95,2023-03-24T12:36:00+05:30,973.0001,5,stoploss,-9.7495,54.4236,-64.1731,5582.5177
NSE:INFY-EQ,long,2023-03-24T11:45:00+05:30,1392.1,2023-03-24T12:39:00+05:30,1389.3158,4,stoploss,-11.1368,55.4515,-66.5883,5589.0121
NSE:AXISBANK-EQ,long,2023-03-24T12:24:00+05:30,849.1,2023-03-24T12:39:00+05:30,847.4018,6,stoploss,-10.1892,54.7494,-64.9386,5817.7763
NSE:ICICIBANK-EQ,long,2023-03-24T12:36:00+05:30,855.65,2023-03-24T12:39:00+05:30,853.9387,6,stoploss,-10.2678,54.8076,-65.0754,5517.4423
NSE:HDFCBANK-EQ,long,2023-03-24T11:51:00+05:30,784.23,2023-03-24T12:45:00+05:30,782.6615,7,stoploss,-10.9792,55.3347,-66.3139,5589.2864
NSE:BAJFINANCE-EQ,short,2023-03-24T12:45:00+05:30,569.75,2023-03-24T12:48:00+05:30,570.8895,9,stoploss,-10.2555,54.8137,-65.0692,5524.2172
NSE:TITAN-EQ,short,2023-03-24T12:45:00+05:30,2499.85,2023-03-24T12:57:00+05:30,2489.8506,2,target,19.9988,54.6028,-34.604,5554.6824
NSE:HDFCBANK-EQ,short,2023-03-24T13:00:00+05:30,782.0,2023-03-24T13:03:00+05:30,783.564,7,stoploss,-10.948,55.3278,-66.2758,5488.4066
NSE:KOTAKBANK-EQ,long,2023-03-24T12:36:00+05:30,339.67,2023-03-24T13:09:00+05:30,341.0287,16,target,21.7389,55.2792,-33.5403,5548.9774
NSE:TCS-EQ,short,2023-03-24T12:45:00+05:30,3149.9,2023-03-24T13:21:00+05:30,3137.3004,1,target,12.5996,51.8639,-39.2643,5550.0221
NSE:ASIANPAINT-EQ,long,2023-03-24T12:39:00+05:30,2803.3,2023-03-24T13:30:00+05:30,2797.6934,1,stoploss,-5.6066,51.354,-56.9606,5460.4817
NSE:SBIN-EQ,long,2023-03-24T13:21:00+05:30,512.95,2023-03-24T13:36:00+05:30,511.9241,10,stoploss,-10.259,54.8011,-65.0601,5484.9621
NSE:INFY-EQ,long,2023-03-24T13:27:00+05:30,1392.4,2023-03-24T13:36:00+05:30,1389.6152,3,stoploss,-8.3544,53.3899,-61.7443,5488.2778
NSE:WIPRO-EQ,short,2023-03-24T12:45:00+05:30,181.48,2023-03-24T13:48:00+05:30,180.7541,30,target,21.7776,55.2613,-33.4837,5555.8028
NSE:LT-EQ,short,2023-03-24T12:51:00+05:30,2184.35,2023-03-24T13:48:00+05:30,2188.7187,2,stoploss,-8.7374,53.6867,-62.4241,5461.7932
NSE:SBIN-EQ,short,2023-03-24T13:39:00+05:30,511.75,2023-03-24T14:03:00+05:30,509.703,10,target,20.47,54.7772,-34.3072,5453.9706
NSE:SUNPHARMA-EQ,long,2023-03-24T12:39:00+05:30,973.65,2023-03-24T14:39:00+05:30,977.5446,5,target,19.473,54.4371,-34.9641,5482.4782
NSE:HDFCBANK-EQ,long,2023-03-27T10:12:00+05:30,785.63,2023-03-27T10:24:00+05:30,784.0587,6,stoploss,-9.4276,54.1851,-63.6126,5418.8656
NSE:LT-EQ,long,2023-03-27T10:18:00+05:30,2186.5,2023-03-27T10:24:00+05:30,2182.127,2,stoploss,-8.746,53.6801,-62.4261,5420.0522
NSE:KOTAKBANK-EQ,long,2023-03-27T10:09:00+05:30,341.0,2023-03-27T10:45:00+05:30,340.318,16,stoploss,-10.912,55.2849,-66.1969,5416.2813
NSE:SUNPHARMA-EQ,long,2023-03-27T10:27:00+05:30,978.85,2023-03-27T10:48:00+05:30,982.7654,5,target,19.577,54.4757,-34.8987,5385.1534
NSE:ASIANPAINT-EQ,short,2023-03-27T10:48:00+05:30,2789.2,2023-03-27T10:51:00+05:30,2794.7784,1,stoploss,-5.5784,51.3414,-56.9198,5328.2336
NSE:AXISBANK-EQ,short,2023-03-27T10:48:00+05:30,832.9,2023-03-27T10:54:00+05:30,834.5658,6,stoploss,-9.9948,54.6202,-64.615,5320.5385
NSE:HDFCBANK-EQ,long,2023-03-27T10:30:00+05:30,785.5,2023-03-27T10:57:00+05:30,783.929,6,stoploss,-9.426,54.1839,-63.6099,5356.4423
NSE:SBIN-EQ,short,2023-03-27T10:45:00+05:30,506.85,2023-03-27T11:00:00+05:30,507.8637,10,stoploss,-10.137,54.7257,-64.8627,5351.4186
NSE:BAJFINANCE-EQ,short,2023-03-27T10:57:00+05:30,564.58,2023-03-27T11:12:00+05:30,562.3217,9,target,20.3249,54.7235,-34.3986,5322.0436
NSE:ICICIBANK-EQ,short,2023-03-27T10:48:00+05:30,847.0,2023-03-27T11:36:00+05:30,848.694,6,stoploss,-10.164,54.7458,-64.9098,5320.2437
NSE:LT-EQ,short,2023-03-27T11:03:00+05:30,2172.95,2023-03-27T11:36:00+05:30,2177.2959,2,stoploss,-8.6918,53.6528,-62.3446,5289.074
NSE:HDFCBANK-EQ,short,2023-03-27T11:33:00+05:30,781.03,2023-03-27T11:36:00+05:30,782.5921,6,stoploss,-9.3724,54.1581,-63.5304,5258.5132
NSE:TITAN-EQ,long,2023-03-27T10:27:00+05:30,2492.75,2023-03-27T11:39:00+05:30,2502.721,2,target,19.942,54.6114,-34.6694,5385.3828
NSE:KOTAKBANK-EQ,short,2023-03-27T11:27:00+05:30,339.75,2023-03-27T11:39:00+05:30,340.4295,15,stoploss,-10.1925,54.7669,-64.9594,5257.0842
NSE:AXISBANK-EQ,short,2023-03-27T11:03:00+05:30,835.4,2023-03-27T11:42:00+05:30,837.0708,6,stoploss,-10.0248,54.6424,-64.6672,5286.7514
NSE:ICICIBANK-EQ,short,2023-03-27T11:39:00+05:30,847.85,2023-03-27T11:42:00+05:30,849.5457,6,stoploss,-10.1742,54.7533,-64.9275,5192.1567
NSE:INFY-EQ,short,2023-03-27T10:51:00+05:30,1383.85,2023-03-27T11:48:00+05:30,1386.6177,3,stoploss,-8.3031,53.3642,-61.6673,5266.5663
NSE:TCS-EQ,short,2023-03-27T11:36:00+05:30,3130.0,2023-03-27T11:51:00+05:30,3136.26,1,stoploss,-6.26,51.8474,-58.1074,5200.4058
NSE:TITAN-EQ,long,2023-03-27T11:42:00+05:30,2503.7,2023-03-27T12:00:00+05:30,2498.6926,2,stoploss,-10.0148,54.6201,-64.6349,5127.5217
NSE:SUNPHARMA-EQ,long,2023-03-27T11:57:00+05:30,988.35,2023-03-27T12:30:00+05:30,986.3733,5,stoploss,-9.8835,54.5229,-64.4064,5135.9994
NSE:SBIN-EQ,long,2023-03-27T12:12:00+05:30,509.65,2023-03-27T12:36:00+05:30,511.6886,10,target,20.386,54.7764,-34.3904,5093.1313
NSE:RELIANCE-EQ,long,2023-03-27T11:57:00+05:30,1122.1,2023-03-27T12:51:00+05:30,1119.8558,4,stoploss,-8.9768,53.8511,-62.8279,5137.5779
NSE:ICICIBANK-EQ,long,2023-03-27T12:45:00+05:30,851.75,2023-03-27T12:51:00+05:30,850.0465,5,stoploss,-8.5175,53.5108,-62.0283,5031.103
NSE:LT-EQ,short,2023-03-27T11:39:00+05:30,2173.2,2023-03-27T13:00:00+05:30,2164.5072,2,target,17.3856,53.6355,-36.2499,5220.8343
NSE:INFY-EQ,long,2023-03-27T12:45:00+05:30,1394.0,2023-03-27T13:03:00+05:30,1391.212,3,stoploss,-8.364,53.397,-61.761,5031.3703
